sector,model_type,dep_var,metric,metric_value,quality,feature,importance,group,definition
Creative Industries,Classification,lq_bus_binary,F1,0.8053,✅ Recommended,apprenticeship_achievements,0.3072,Human Capital,Number of apprenticeships successfully completed in the area.
Creative Industries,Classification,lq_bus_binary,F1,0.8053,✅ Recommended,nvq_level3,0.1264,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Creative Industries,Classification,gd_emp_binary,F1,0.5829,⚠️ Marginal,housing_net_additions,0.185,Place Conditions,Net annual additions to the local housing stock (new builds minus demolitions/conversions).
Creative Industries,Classification,gd_emp_binary,F1,0.5829,⚠️ Marginal,fe_participation,0.1295,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Creative Industries,Classification,gd_emp_binary,F1,0.5829,⚠️ Marginal,n_universities_feecap_lad,0.1085,—,—
Creative Industries,Classification,gd_emp_binary,F1,0.5829,⚠️ Marginal,apprenticeship_achievements,0.0906,Human Capital,Number of apprenticeships successfully completed in the area.
Creative Industries,Classification,gd_emp_binary,F1,0.5829,⚠️ Marginal,apprenticeship_starts,0.0818,Human Capital,Number of apprenticeship starts in the area per period.
Creative Industries,Classification,gd_bus_binary,F1,0.621,⚠️ Marginal,enterprise_death_rate,0.2043,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Creative Industries,Classification,gd_bus_binary,F1,0.621,⚠️ Marginal,fe_participation,0.2013,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Creative Industries,Classification,gd_bus_binary,F1,0.621,⚠️ Marginal,gcse_age19,0.1091,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Creative Industries,Classification,gd_bus_binary,F1,0.621,⚠️ Marginal,n_universities_feecap_lad,0.0958,—,—
Creative Industries,Classification,gd_bus_binary,F1,0.621,⚠️ Marginal,related_variety,0.0813,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Defence,Classification,gd_emp_binary,F1,0.7526,✅ Recommended,gcse_age19,0.2663,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Defence,Classification,gd_emp_binary,F1,0.7526,✅ Recommended,related_variety,0.1824,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Defence,Classification,gd_emp_binary,F1,0.7526,✅ Recommended,apprenticeship_starts,0.1311,Human Capital,Number of apprenticeship starts in the area per period.
Defence,Classification,gd_emp_binary,F1,0.7526,✅ Recommended,apprenticeship_achievements,0.0825,Human Capital,Number of apprenticeships successfully completed in the area.
Defence,Classification,gd_emp_binary,F1,0.7526,✅ Recommended,nvq_level3,0.0804,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Digital and Technologies,Regression,lq_emp,R2,0.5016,✅ Recommended,nvq_level3,0.4281,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Digital and Technologies,Regression,lq_emp,R2,0.5016,✅ Recommended,related_variety,0.1809,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Digital and Technologies,Regression,lq_emp,R2,0.5016,✅ Recommended,gcse_age19,0.0858,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Digital and Technologies,Regression,lq_emp,R2,0.5016,✅ Recommended,fe_participation,0.0546,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Digital and Technologies,Regression,lq_emp,R2,0.5016,✅ Recommended,apprenticeship_starts,0.0494,Human Capital,Number of apprenticeship starts in the area per period.
Digital and Technologies,Regression,lq_bus,R2,0.6271,✅ Recommended,apprenticeship_starts,0.2774,Human Capital,Number of apprenticeship starts in the area per period.
Digital and Technologies,Regression,lq_bus,R2,0.6271,✅ Recommended,nvq_level3,0.2734,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Digital and Technologies,Regression,lq_bus,R2,0.6271,✅ Recommended,apprenticeship_achievements,0.1957,Human Capital,Number of apprenticeships successfully completed in the area.
Digital and Technologies,Regression,lq_bus,R2,0.6271,✅ Recommended,gcse_age19,0.0664,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Digital and Technologies,Classification,lq_emp_binary,F1,0.5576,⚠️ Marginal,nvq_level3,0.4281,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Digital and Technologies,Classification,lq_emp_binary,F1,0.5576,⚠️ Marginal,related_variety,0.1809,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Digital and Technologies,Classification,lq_emp_binary,F1,0.5576,⚠️ Marginal,gcse_age19,0.0858,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Digital and Technologies,Classification,lq_emp_binary,F1,0.5576,⚠️ Marginal,fe_participation,0.0546,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Digital and Technologies,Classification,lq_emp_binary,F1,0.5576,⚠️ Marginal,apprenticeship_starts,0.0494,Human Capital,Number of apprenticeship starts in the area per period.
Digital and Technologies,Classification,lq_bus_binary,F1,0.7414,✅ Recommended,apprenticeship_starts,0.2774,Human Capital,Number of apprenticeship starts in the area per period.
Digital and Technologies,Classification,lq_bus_binary,F1,0.7414,✅ Recommended,nvq_level3,0.2734,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Digital and Technologies,Classification,lq_bus_binary,F1,0.7414,✅ Recommended,apprenticeship_achievements,0.1957,Human Capital,Number of apprenticeships successfully completed in the area.
Digital and Technologies,Classification,lq_bus_binary,F1,0.7414,✅ Recommended,gcse_age19,0.0664,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Digital and Technologies,Classification,gd_emp_binary,F1,0.524,⚠️ Marginal,n_universities_feecap_lad,0.3246,—,—
Digital and Technologies,Classification,gd_emp_binary,F1,0.524,⚠️ Marginal,housing_net_additions,0.187,Place Conditions,Net annual additions to the local housing stock (new builds minus demolitions/conversions).
Digital and Technologies,Classification,gd_emp_binary,F1,0.524,⚠️ Marginal,gcse_age19,0.1114,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Digital and Technologies,Classification,gd_emp_binary,F1,0.524,⚠️ Marginal,nvq_level3,0.0906,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Digital and Technologies,Classification,gd_emp_binary,F1,0.524,⚠️ Marginal,related_variety,0.0566,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Digital and Technologies,Classification,gd_bus_binary,F1,0.5858,⚠️ Marginal,n_universities_feecap_lad,0.3555,—,—
Digital and Technologies,Classification,gd_bus_binary,F1,0.5858,⚠️ Marginal,fe_participation,0.1973,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Digital and Technologies,Classification,gd_bus_binary,F1,0.5858,⚠️ Marginal,enterprise_death_rate,0.081,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Digital and Technologies,Classification,gd_bus_binary,F1,0.5858,⚠️ Marginal,related_variety,0.0621,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Digital and Technologies,Classification,gd_bus_binary,F1,0.5858,⚠️ Marginal,gcse_age19,0.0548,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Financial Services,Regression,lq_bus,R2,0.137,⚠️ Marginal,n_universities_feecap_lad,0.4084,—,—
Financial Services,Regression,lq_bus,R2,0.137,⚠️ Marginal,related_variety,0.3009,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Financial Services,Regression,lq_bus,R2,0.137,⚠️ Marginal,nvq_level3,0.084,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Financial Services,Regression,lq_bus,R2,0.137,⚠️ Marginal,broadband,0.0383,Connectivity & Accessibility,Share of premises with access to gigabit-capable broadband.
Financial Services,Classification,gd_bus_binary,F1,0.6285,⚠️ Marginal,related_variety,0.3494,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Financial Services,Classification,gd_bus_binary,F1,0.6285,⚠️ Marginal,enterprise_birth_rate,0.1864,Entrepreneurial Discovery,New firm formation as a share of the active enterprise stock.
Financial Services,Classification,gd_bus_binary,F1,0.6285,⚠️ Marginal,gcse_age19,0.0785,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Financial Services,Classification,gd_bus_binary,F1,0.6285,⚠️ Marginal,coverage_4g,0.076,Connectivity & Accessibility,Share of geographic area with outdoor 4G mobile coverage from at least one operator.
Financial Services,Classification,gd_bus_binary,F1,0.6285,⚠️ Marginal,housing_net_additions,0.0651,Place Conditions,Net annual additions to the local housing stock (new builds minus demolitions/conversions).
Life Sciences,Regression,lq_bus,R2,0.1956,⚠️ Marginal,fe_participation,0.4087,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Life Sciences,Regression,lq_bus,R2,0.1956,⚠️ Marginal,related_variety,0.2439,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Life Sciences,Regression,lq_bus,R2,0.1956,⚠️ Marginal,nvq_level3,0.2068,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Life Sciences,Classification,gd_emp_binary,F1,0.5554,⚠️ Marginal,housing_net_additions,0.1459,Place Conditions,Net annual additions to the local housing stock (new builds minus demolitions/conversions).
Life Sciences,Classification,gd_emp_binary,F1,0.5554,⚠️ Marginal,fe_participation,0.1357,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Life Sciences,Classification,gd_emp_binary,F1,0.5554,⚠️ Marginal,gcse_age19,0.1269,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Life Sciences,Classification,gd_emp_binary,F1,0.5554,⚠️ Marginal,nvq_level3,0.1235,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Life Sciences,Classification,gd_emp_binary,F1,0.5554,⚠️ Marginal,broadband,0.0786,Connectivity & Accessibility,Share of premises with access to gigabit-capable broadband.
Life Sciences,Classification,gd_bus_binary,F1,0.8424,✅ Recommended,nvq_level3,0.2396,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Life Sciences,Classification,gd_bus_binary,F1,0.8424,✅ Recommended,related_variety,0.1266,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Life Sciences,Classification,gd_bus_binary,F1,0.8424,✅ Recommended,fe_participation,0.0963,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Life Sciences,Classification,gd_bus_binary,F1,0.8424,✅ Recommended,enterprise_birth_rate,0.0932,Entrepreneurial Discovery,New firm formation as a share of the active enterprise stock.
Life Sciences,Classification,gd_bus_binary,F1,0.8424,✅ Recommended,enterprise_death_rate,0.0838,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Professional and Business Services,Regression,lq_emp,R2,0.412,✅ Recommended,n_universities_feecap_lad,0.2475,—,—
Professional and Business Services,Regression,lq_emp,R2,0.412,✅ Recommended,gcse_age19,0.1868,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Professional and Business Services,Regression,lq_emp,R2,0.412,✅ Recommended,apprenticeship_starts,0.1807,Human Capital,Number of apprenticeship starts in the area per period.
Professional and Business Services,Regression,lq_emp,R2,0.412,✅ Recommended,fe_participation,0.0807,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Professional and Business Services,Regression,lq_emp,R2,0.412,✅ Recommended,enterprise_death_rate,0.0749,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Professional and Business Services,Regression,lq_bus,R2,0.6337,✅ Recommended,nvq_level3,0.4166,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Professional and Business Services,Regression,lq_bus,R2,0.6337,✅ Recommended,apprenticeship_starts,0.2657,Human Capital,Number of apprenticeship starts in the area per period.
Professional and Business Services,Regression,lq_bus,R2,0.6337,✅ Recommended,gcse_age19,0.1081,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Professional and Business Services,Regression,lq_bus,R2,0.6337,✅ Recommended,apprenticeship_achievements,0.0585,Human Capital,Number of apprenticeships successfully completed in the area.
Professional and Business Services,Classification,lq_emp_binary,F1,0.515,⚠️ Marginal,n_universities_feecap_lad,0.2475,—,—
Professional and Business Services,Classification,lq_emp_binary,F1,0.515,⚠️ Marginal,gcse_age19,0.1868,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Professional and Business Services,Classification,lq_emp_binary,F1,0.515,⚠️ Marginal,apprenticeship_starts,0.1807,Human Capital,Number of apprenticeship starts in the area per period.
Professional and Business Services,Classification,lq_emp_binary,F1,0.515,⚠️ Marginal,fe_participation,0.0807,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Professional and Business Services,Classification,lq_emp_binary,F1,0.515,⚠️ Marginal,enterprise_death_rate,0.0749,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Professional and Business Services,Classification,lq_bus_binary,F1,0.8163,✅ Recommended,nvq_level3,0.4166,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Professional and Business Services,Classification,lq_bus_binary,F1,0.8163,✅ Recommended,apprenticeship_starts,0.2657,Human Capital,Number of apprenticeship starts in the area per period.
Professional and Business Services,Classification,lq_bus_binary,F1,0.8163,✅ Recommended,gcse_age19,0.1081,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Professional and Business Services,Classification,lq_bus_binary,F1,0.8163,✅ Recommended,apprenticeship_achievements,0.0585,Human Capital,Number of apprenticeships successfully completed in the area.
Professional and Business Services,Classification,gd_emp_binary,F1,0.5506,⚠️ Marginal,enterprise_death_rate,0.1492,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Professional and Business Services,Classification,gd_emp_binary,F1,0.5506,⚠️ Marginal,nvq_level3,0.1221,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Professional and Business Services,Classification,gd_emp_binary,F1,0.5506,⚠️ Marginal,fe_participation,0.1102,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Professional and Business Services,Classification,gd_emp_binary,F1,0.5506,⚠️ Marginal,gcse_age19,0.1051,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Professional and Business Services,Classification,gd_emp_binary,F1,0.5506,⚠️ Marginal,n_universities_feecap_lad,0.0941,—,—
Professional and Business Services,Classification,gd_bus_binary,F1,0.6343,⚠️ Marginal,apprenticeship_starts,0.1627,Human Capital,Number of apprenticeship starts in the area per period.
Professional and Business Services,Classification,gd_bus_binary,F1,0.6343,⚠️ Marginal,gcse_age19,0.1527,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Professional and Business Services,Classification,gd_bus_binary,F1,0.6343,⚠️ Marginal,enterprise_death_rate,0.1377,Entrepreneurial Discovery,Businesses ceasing to trade as a share of the active enterprise stock.
Professional and Business Services,Classification,gd_bus_binary,F1,0.6343,⚠️ Marginal,enterprise_birth_rate,0.1054,Entrepreneurial Discovery,New firm formation as a share of the active enterprise stock.
Professional and Business Services,Classification,gd_bus_binary,F1,0.6343,⚠️ Marginal,nvq_level3,0.0986,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
