parquet_code,digits,div_2digit,div_desc,grp_3digit,grp_desc,cls_4digit,cls_desc,leaf_5digit,leaf_desc,IS8_sector,frontier_sector
268,3,26,"Manufacture of computer, electronic and optical products",268,Manufacture of magnetic and optical media,2680,,26800,Manufacture of magnetic and optical media,Digital and Technology,
272,3,27,Manufacture of electrical equipment,272,Manufacture of batteries and accumulators,2720,,27200,Manufacture of batteries and accumulators,Advanced manufacturing,Batteries
279,3,27,Manufacture of electrical equipment,279,Manufacture of other electrical equipment,2790,,27900,Manufacture of other electrical equipment,Digital and Technology,
283,3,28,Manufacture of machinery and equipment nec,283,Manufacture of agricultural and forestry machinery,2830,,28300,Manufacture of agricultural and forestry machinery,Advanced manufacturing,Agritech
303,3,30,Manufacture of other transport equipment,303,Manufacture of air and spacecraft and related machinery,3030,,30300,Manufacture of air and spacecraft and related machinery,Advanced manufacturing,Aerospace manufacturing
304,3,30,Manufacture of other transport equipment,304,Manufacture of military fighting vehicles,3040,,30400,Manufacture of military fighting vehicles,Defence sector,
325,3,32,Other manufacturing,325,Manufacture of medical and dental instruments and supplies,3250,,32500,Manufacture of medical and dental instruments and supplies,Life Sciences,
465,3,46,"Wholesale trade, except of motor vehicles and motorcycles",465,Wholesale of information and communication equipment,4651,,46510,"Wholesale of computers, computer peripheral equipment and software",Digital and Technology,
591,3,59,"Motion picture, video and television programme production, sound recording and music publishing activities",591,"Motion picture, video and television programme activities",5911,,59110,"Motion picture, video and television programme production activities",Creative Industries,Film and TV
592,3,59,"Motion picture, video and television programme production, sound recording and music publishing activities",592,Sound recording and music publishing activities,5920,,59200,Sound recording and music publishing activities,Creative Industries,"Music, peforming, and visual arts"
602,3,60,Programming and broadcasting activities,602,Television programming and broadcasting activities,6020,,60200,Television programming and broadcasting activities,Creative Industries,Film and TV
642,3,64,"Financial service activities, except insurance and pension funding",642,Activities of holding companies,6420,,64200,Activities of holding companies,Financial Services,Capital markets and retail investment
643,3,64,"Financial service activities, except insurance and pension funding",643,"Trusts, funds and similar financial entities",6430,,64300,"Trusts, funds and similar financial entities",Financial Services,Capital markets and retail investment
663,3,66,Activities auxiliary to financial services and insurance activities,663,Fund management activities,6630,,66300,Fund management activities,Financial Services,Asset management and wholesale services
691,3,69,Legal and accounting activities,691,Legal activities,6910,,69100,Legal activities,Professional and Business Services,Legal services
692,3,69,Legal and accounting activities,692,"Accounting, bookkeeping and auditing activities; tax consultancy",6920,,69200,"Accounting, bookkeeping and auditing activities; tax consultancy",Professional and Business Services,"Accounting, audit and tax consultancy"
702,3,70,Activities of head offices; management consultancy activities,702,Management consultancy activities,7021,,70210,Public relations and communication activities,Professional and Business Services,Management consultancy
712,3,71,Architectural and engineering activities; technical testing and analysis,712,Technical testing and analysis,7120,,71200,Technical testing and analysis,Digital and Technology,
721,3,72,Scientific research and development,721,Research and experimental development on natural sciences and engineering,7211,,72110,Research and experimental development on biotechnology,Digital and Technology,
731,3,73,Advertising and market research,731,Advertising,7311,,73110,Advertising agencies,Creative Industries,Advertising and marketing
741,3,74,"Other professional, scientific and technical activities",741,Specialised design activities,7410,,74100,Specialised design activities,Creative Industries,
742,3,74,"Other professional, scientific and technical activities",742,Photographic activities,7420,,74200,Photographic activities,Creative Industries,
743,3,74,"Other professional, scientific and technical activities",743,Translation and interpretation activities,7430,,74300,Translation and interpretation activities,Creative Industries,
951,3,95,Repair of computers and personal and household goods,951,Repair of computers and communication equipment,9511,,95110,Repair of computers and peripheral equipment,Digital and Technology,
2731,4,27,Manufacture of electrical equipment,273,Manufacture of wiring and wiring devices,2731,,27310,Manufacture of fibre optic cables,Digital and Technology,
2732,4,27,Manufacture of electrical equipment,273,Manufacture of wiring and wiring devices,2732,,27320,Manufacture of other electronic and electric wires and cables,Digital and Technology,
3212,4,32,Other manufacturing,321,"Manufacture of jewellery, bijouterie and related articles",3212,,32120,Manufacture of jewellery and related articles,Creative Industries,
3316,4,33,Repair and installation of machinery and equipment,331,"Repair of fabricated metal products, machinery and equipment",3316,,33160,Repair and maintenance of aircraft and spacecraft,Advanced manufacturing,Aerospace manufacturing
5821,4,58,Publishing activities,582,Software publishing,5821,,58210,Publishing of computer games,Creative Industries,Video games
6201,4,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",6201,,62010,Computer programming activities,Creative Industries,
6202,4,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",6202,,62020,Computer consultancy activities,Creative Industries,
6499,4,64,"Financial service activities, except insurance and pension funding",649,"Other financial service activities, except insurance and pension funding",6499,,64990,"Other financial service activities, except insurance and pension funding, nec",Financial Services,Capital markets and retail investment
6512,4,65,"Insurance, reinsurance and pension funding, except compulsory social security",651,Insurance,6512,,65120,Non-life insurance,Financial Services,Insurance and reinsurance markets
6611,4,66,Activities auxiliary to financial services and insurance activities,661,"Activities auxiliary to financial services, except insurance and pension funding",6611,,66110,Administration of financial markets,Financial Services,Capital markets and retail investment
6612,4,66,Activities auxiliary to financial services and insurance activities,661,"Activities auxiliary to financial services, except insurance and pension funding",6612,,66120,Security and commodity contracts brokerage,Financial Services,Capital markets and retail investment
6621,4,66,Activities auxiliary to financial services and insurance activities,662,Activities auxiliary to insurance and pension funding,6621,,66210,Risk and damage evaluation,Financial Services,Insurance and reinsurance markets
6622,4,66,Activities auxiliary to financial services and insurance activities,662,Activities auxiliary to insurance and pension funding,6622,,66220,Activities of insurance agents and brokers,Financial Services,Insurance and reinsurance markets
7021,4,70,Activities of head offices; management consultancy activities,702,Management consultancy activities,7021,,70210,Public relations and communication activities,Creative Industries,Advertising and marketing
7111,4,71,Architectural and engineering activities; technical testing and analysis,711,Architectural and engineering activities and related technical consultancy,7111,,71110,Architectural activities,Creative Industries,
7112,4,71,Architectural and engineering activities; technical testing and analysis,711,Architectural and engineering activities and related technical consultancy,7112,,71120,Engineering activities and related technical consultancy,Digital and Technology,
7211,4,72,Scientific research and development,721,Research and experimental development on natural sciences and engineering,7211,,72110,Research and experimental development on biotechnology,Life Sciences,
8552,4,85,Education,855,Other education,8552,,85520,Cultural education,Creative Industries,"Music, peforming, and visual arts"
9101,4,91,"Libraries, archives, museums and other cultural activities",910,"Libraries, archives, museums and other cultural activities",9101,,91010,Library and archive activities,Creative Industries,
9102,4,91,"Libraries, archives, museums and other cultural activities",910,"Libraries, archives, museums and other cultural activities",9102,,91020,Museum activities,Creative Industries,
26511,5,,,,,,,,,,
26512,5,,,,,,,,,,
26513,5,,,,,,,,,,
26701,5,,,,,,,,,,
62011,5,,,,,,,,,,
64191,5,,,,,,,,,,
64301,5,,,,,,,,,,
65202,5,,,,,,,,,,
